@relation parar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Tiempo numeric
@attribute TipoDePase {alto,bajo}
@attribute Fuerza numeric

@data
-0.999999,-0.001107,0.000008,5.56248,0.435799,bajo,0
0.999947,-0.010333,-0.000009,1.767435,0.748387,bajo,0
0.989972,-0.141266,0,0.141575,0.22574,bajo,0
1,-0.000122,-0.000003,15.338999,0.895872,alto,0
-0.105784,0.994389,0,55.827686,0.905893,alto,0
1,-0.000557,-0.00001,4.485786,1.247692,bajo,0
-0.999998,-0.001825,-0.000002,10.082726,1.433257,bajo,0
0.999954,-0.009601,-0.000009,1.621262,1.056164,bajo,0
0.999989,-0.004722,-0.000057,0.670011,1.65618,bajo,0
0.999465,-0.03269,0,0.611798,0.482762,bajo,0
0.934203,0.356742,0,2.158356,0.820866,alto,0
0.999999,-0.0016,0,12.497526,1.750994,alto,0
0.999999,-0.001557,0,12.86435,1.46793,bajo,0
0.957678,0.287841,0,4.472763,0.693119,alto,0
-0.99999,-0.004512,0,3.578882,0.958648,bajo,0
-0.999647,-0.026581,-0.00002,0.373129,0.348785,bajo,0
1,-0.000133,0.000002,14.691907,1.502003,alto,0
0.999999,-0.001106,-0.000001,11.780424,1.163217,alto,0
-0.997639,0.068671,-0.000067,27.026693,0.716189,alto,0
0.545815,-0.837906,-0.00007,6.686221,0.172825,alto,0
-0.999994,-0.003549,0,5.592731,1.243969,bajo,0
0.99999,-0.004529,0,4.382416,0.79172,bajo,0
0.999889,-0.013753,-0.005663,2.961266,1.236648,alto,0
-0.999997,-0.002283,0,8.761656,1.073355,alto,0
1,-0.00055,0.000006,2.439636,0.624352,bajo,0
0.999999,-0.001565,0,12.537015,1.131157,alto,0
0.999997,-0.00257,0,7.088926,1.547,bajo,0
0.999898,0.014299,0.000006,11.630974,0.905325,alto,0
-0.973119,0.230302,0,4.986949,0.311693,alto,0
-0.999999,-0.001708,0,11.711075,1.189333,bajo,0
-1,-0.000473,-0.000012,10.603438,1.401818,bajo,0
0.962294,0.27201,0,5.795043,0.654877,alto,0
-0.749631,0.661856,0.000006,2.628415,0.440297,alto,0
1,-0.000594,0.000013,2.275333,1.191717,alto,0
-0.999995,-0.003271,0.000001,5.894257,0.626404,bajo,0
0.999999,-0.001195,-0.000002,14.821703,0.971433,bajo,0
1,-0.000408,0.000013,4.092961,1.088189,alto,0
-1,-0.000152,-0.000274,8.751445,0.971654,bajo,0
-1,-0.000548,-0.000003,4.409287,1.142114,bajo,0
1,-0.000662,-0.000012,3.685849,0.643722,bajo,0
0.393994,0.919113,-0.000118,0.323778,0.087704,alto,0
-0.926692,0.375823,-0.000011,2.744534,0.737845,alto,0
0.002613,0.999996,0.000015,1.513919,0.48894,alto,0
-0.949942,0.312426,0,3.811838,0.442736,alto,0
-0.985019,0.172444,0.000001,5.145228,0.724432,alto,0
0.9969,0.078673,0,3.449879,0.173886,alto,0
0.999237,0.03906,0,3.952433,0.233398,alto,0
0.96535,-0.260957,0,3.344547,0.252373,bajo,0
0.982541,0.183677,-0.029582,3.160085,0.165034,alto,0
0.982653,-0.184802,-0.015539,3.684924,0.284667,bajo,0
0.960858,0.277035,0.001844,3.471191,0.256386,alto,0
-0.999593,-0.028524,0,3.056437,1.496685,alto,0
-0.999031,0.044006,0,5.783281,0.881318,alto,0
0.999818,-0.019058,0,5.143346,1.358487,alto,0
0.999999,-0.001254,0,14.714174,1.630432,bajo,0
0.999999,-0.001073,-0.000002,10.211256,1.02378,bajo,0
0.992558,-0.121774,0,3.52556,0.091562,alto,0
0.99997,-0.0078,-0.000003,2.500919,0.836929,bajo,0
1,-0.000268,-0.000096,10.889989,1.182065,bajo,0
0.998939,-0.046051,-0.000041,6.558498,0.173244,bajo,0
-0.999996,-0.002406,-0.001212,1.19008,1.238909,alto,0
0.999998,-0.001927,0,10.376823,0.822955,bajo,0
-0.996531,0.083228,0,5.642082,0.885595,alto,0
0.920115,0.391648,-0.000007,4.4361,0.582212,alto,0
-0.999965,-0.008399,0.000003,2.393168,0.387463,bajo,0
-0.997921,0.064456,0,8.307645,0.687524,alto,0
0.984371,0.176106,0.000005,8.783918,0.41232,alto,0
0.983646,0.180112,0.000007,9.663698,0.361051,alto,0
0.91724,0.398334,0.000275,3.664544,0.412434,alto,0
0.911512,0.411273,0.000264,3.443247,0.347686,alto,0
0.936502,-0.350661,0.00045,1.916601,0.29745,bajo,0
0.972352,0.23352,0.000182,4.351137,0.275133,alto,0
0.982809,0.184623,0.000246,3.008633,0.28096,alto,0
-0.977942,-0.208879,0,27.186218,0.776458,bajo,0
-0.977941,-0.20888,-0.000001,27.182339,0.752297,bajo,0
-0.987312,-0.158794,-0.000065,34.575069,0.74988,bajo,0
0.999999,-0.001756,0,11.392275,0.940445,bajo,0
0.991997,0.126263,0,8.796408,0.699285,alto,0
0.910797,-0.412855,0,0.702284,0.93313,bajo,0
-0.940935,0.338587,0,1.34629,0.792932,alto,0
-0.999988,-0.004919,0,4.066136,0.7995,bajo,0
-0.999963,-0.008615,0,2.321462,1.033875,alto,0
-0.99957,-0.029327,0,3.391841,1.051012,bajo,0
0.999994,-0.003341,0,5.994307,0.914352,alto,0
0.999997,-0.002328,0,8.602363,0.907894,bajo,0
-0.999526,-0.030791,0,2.564862,1.401532,alto,0
-0.999997,-0.00259,0.000002,4.625131,0.983061,bajo,0
-1,-0.000875,0.000001,13.850628,1.148916,alto,0
-0.999994,-0.003591,0.000017,13.586707,1.135797,bajo,0
0.946465,-0.322806,0.000003,44.552799,0.050476,bajo,0
0.949341,-0.314247,0.000003,45.611942,0.050528,alto,0
0.94621,-0.323554,0.000112,40.408863,0.074495,bajo,0
0.952816,-0.303547,0.000777,23.106106,0.073815,alto,0
0.988656,-0.150197,0,7.703821,1.003338,bajo,0
-0.684402,-0.729105,0,1.586661,0.7625,bajo,0
0.999661,0.026037,0,7.638666,0.699719,alto,0
-0.999991,-0.004159,0,4.804918,0.931973,alto,0
-0.999995,-0.003127,0,6.395253,0.64564,bajo,0
-0.999997,-0.002481,0,8.061994,1.692486,alto,0
0.999905,-0.0138,0,1.441827,1.300561,bajo,0
-0.378294,0.925686,0,0.926568,0.352756,alto,0
0.999989,-0.004771,0,4.054624,0.241072,bajo,0
0.999999,-0.001215,0,22.533033,1.785799,alto,0
0.996309,0.085845,0,17.608583,0.728669,alto,0
0.99993,-0.011823,-0.000014,1.665842,1.567636,alto,0
0.999954,-0.009639,0,2.074821,1.09823,alto,0
0.999903,-0.013902,0,1.438626,0.77114,bajo,0
0.999996,-0.002884,0,6.934611,1.476399,bajo,0
0.999984,-0.005592,-0.000003,2.24514,0.588259,bajo,0
1,-0.000311,0.000004,5.347788,0.509515,bajo,0
-0.998537,0.054064,-0.000023,24.093557,0.708804,alto,0
0.999995,-0.003249,0.000026,48.935001,0.697305,bajo,0
-1,-0.000097,0.000002,13.801512,1.535401,bajo,0
0.999994,0.003481,0.000006,18.793308,0.940898,alto,0
0.999945,-0.010529,0,1.898083,0.894867,bajo,0
0.98919,0.146642,0,3.720016,0.7987,alto,0
0.933655,0.358174,-0.000004,4.082657,0.245292,alto,0
0.927346,0.374205,0,4.308823,0.560627,alto,0
1,-0.000191,-0.000001,7.046378,2.001534,alto,0
1,0.000155,-0.000034,6.304376,1.628007,bajo,0
-0.999405,-0.034478,0.000066,2.550068,1.773404,bajo,0
0.999313,-0.037052,0.000042,4.559946,1.770408,bajo,0
-0.997457,-0.071269,0.000378,3.469855,2.466955,alto,0
0.997823,-0.065949,0.000314,5.871955,2.657828,alto,0
0.996158,-0.087571,0.000318,5.589993,1.657285,bajo,0
0.996337,-0.08551,0.00028,6.140862,1.751478,alto,0
0.989635,-0.143606,0.000464,4.008606,2.393738,alto,0
